the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.94118940897953 40.67993845779114),3,Brooklyn,303,36,56,25,8,Fulton Street and Kingston Avenue (mid-block),Brooklyn,08/09/2021,-73.9411894,40.67993795,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9497663342373 40.79037050009858),1,Manhattan,111,8,68,30,13,Park Avenue and East 102nd Street,Manhattan,01/25/2022,-73.94976616,40.79036997,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8861828473571 40.84010627285899),2,Bronx,203,17,79,32,15,Southern Boulevard with Crotona Parkway and East 176th Street,Bronx,10/25/2019,-73.88618278,40.84010575,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93278973960997 40.75419451177467),4,Queens,401,26,30,12,12,38th Avenue and 30th Street,Queens,03/19/2020,-73.93278961,40.75419389,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81534358994872 40.696865350269434),4,Queens,409,28,32,10,5,Atlantic Avenue and 134th Street,Brooklyn,11/03/2020,-73.81534378,40.69686463,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78566212864254 40.75796182237802),4,Queens,411,19,26,11,6,Northern Boulevard and 196th Street,Queens,01/13/2021,-73.78566232,40.75796104,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88071415314248 40.64692689398852),3,Brooklyn,305,42,60,19,8,Pennsylvania Avenue and Freeport Loop (North Leg),Brooklyn,07/11/2014,-73.8807143,40.64692633,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.961007359102 40.65008189455628),3,Brooklyn,314,40,42,21,9,Church Avenue and Ocean Avenue,Brooklyn,11/24/2020,-73.96100738,40.65008147,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84696602026166 40.72095862728877),4,Queens,406,29,28,16,6,Austin Street and 70th Street,Queens,05/02/2020,-73.84696612,40.72095793,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97266978095564 40.780705821206844),1,Manhattan,164,6,67,29,10,Central Park West and Pedestrian Crossing (West 79th Street),Manhattan,01/26/2017,-73.97266956,40.7807053,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95722364605271 40.689201938609436),3,Brooklyn,303,35,57,25,8,Franklin Avenue and Lafayette Avenue,Brooklyn,11/18/2016,-73.95722359,40.68920144,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94384379831844 40.74742913344972),4,Queens,402,26,37,12,12,44th Drive and Hunter Street,Queens,03/09/2019,-73.94384365,40.74742852,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.83195718368472 40.7629544418818),4,Queens,407,20,40,16,6,Main Street and Northern Boulevard,Queens,11/23/2016,-73.83195727,40.76295372,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.86657225982187 40.721488021867415),4,Queens,406,29,28,15,6,Woodhaven Boulevard and 64th Road,Queens,09/25/2019,-73.86657232,40.72148735,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9437428437079 40.79861562051116),1,Manhattan,111,8,68,30,13,Park Avenue at East 115th Street,Manhattan,01/06/2020,-73.94374268,40.7986151,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.18072379503481 40.5620659467866),5,Staten Island,503,51,63,24,11,Woodrow Road with Billings Street and Tynan Street,Staten Island,05/05/2020,-74.1807242,40.56206579,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97178322071821 40.7946514928427),1,Manhattan,107,7,69,31,10,Broadway and West 96th Street,Manhattan,03/01/2017,-73.971783,40.794651,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90472681247516 40.70105539479014),4,Queens,405,34,38,12,7,Seneca Avenue and Cornelia Street,Queens,07/25/2014,-73.90472683,40.7010548,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98323603822202 40.66093740549257),3,Brooklyn,307,39,44,21,9,8th Avenue and Windsor Place,Brooklyn,04/29/2022,-73.983236,40.660937,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.07825491879778 40.62197974291628),5,Staten Island,501,49,61,23,11,Tompkins Avenue and Hill Street,Staten Island,10/19/2015,-74.07825499,40.62197953,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86751256294255 40.74937587192927),4,Queens,403,21,34,13,14,Roosevelt Avenue and 98th Street,Queens,06/07/2021,-73.86751258,40.74937517,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95414125092383 40.583106312789056),3,Brooklyn,315,48,45,23,8,Neptune Avenue and Shore Boulevard,Brooklyn,06/23/2018,-73.95414142,40.58310599,AE,,1
POINT (-73.92241063376159 40.74359326236358),4,Queens,402,26,37,12,14,Queens Boulevard and 42nd Street,Queens,02/26/2019,-73.92241054,40.74359263,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98592030780252 40.77777038143179),1,Manhattan,107,6,67,27,10,West End Avenue and Pedestrian Crossing (West 69th Street),Manhattan,09/11/2017,-73.98592006,40.77776987,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94957208844882 40.65080758788907),3,Brooklyn,317,40,42,21,9,Nostrand Avenue and Church Avenue,Brooklyn,03/17/2022,-73.9495721243,40.6508071421,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92608502228667 40.70091256348932),3,Brooklyn,304,34,53,18,7,Wilson Avenue and Willoughby Avenue,Brooklyn,10/08/2021,-73.926085,40.700912,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97444347103668 40.75076659237941),1,Manhattan,106,4,73,27,12,Third Avenue and East 42nd Street,Manhattan,11/20/2019,-73.97444325,40.75076601,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98553661613971 40.757973444356985),1,Manhattan,105,4,75,27,12,Broadway and 7th Avenue with West 46th Street,Manhattan,02/24/2017,-73.98553637,40.75797289,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93871543557908 40.594026224327926),3,Brooklyn,315,46,41,19,9,Avenue X and Brown Street,Brooklyn,06/05/2018,-73.9387156,40.59402585,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.96735689232925 40.806127734597105),1,Manhattan,109,7,69,31,10,Riverside Drive and West 112th Street (midblock crossing),Manhattan,05/17/2018,-73.96735668,40.80612726,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.73638465952683 40.66925010200164),4,Queens,413,31,29,14,5,Brookville Boulevard and 137th Road,Queens,03/24/2022,-73.7363849655,40.6692492913,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98383227816623 40.625463806635494),3,Brooklyn,312,44,48,17,10,18th Avenue and 54th Street,Brooklyn,04/07/2020,-73.98383232,40.62546347,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98020498846606 40.73438701821503),1,Manhattan,106,2,74,27,12,1st Avenue and East 19th Street,Manhattan,06/29/2017,-73.98020479,40.73438647,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.71193104446273 40.73655662099071),4,Queens,413,23,33,11,3,Hillside Avenue and 256th Street,Queens,08/02/2011,-73.71193125,40.73655579,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0007039597204 40.742255167828105),1,Manhattan,104,3,75,27,10,8th Avenue and West 18th Street,Manhattan,02/28/2022,-74.0007037,40.74225463,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.92889848860678 40.74434676584377),4,Queens,402,26,37,12,14,Queens Boulevard and 36th Street,Queens,08/10/2021,-73.92889838,40.74434614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00551159229197 40.709092799321915),1,Manhattan,101,1,65,26,10,Gold Street and Fulton Street,Manhattan,09/30/2013,-74.00551141,40.70909234,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.83259945829963 40.75300841646562),4,Queens,407,20,40,16,6,College Point Boulevard and Pople Avenue,Queens,10/19/2020,-73.83259955,40.75300768,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95963454536805 40.577994791567725),3,Brooklyn,313,48,45,23,8,Brighton Beach Avenue and Coney Island Avenue,Brooklyn,03/01/2018,-73.95963472,40.57799449,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.98398649481727 40.733665982254976),1,Manhattan,106,2,74,27,12,2nd Avenue and Stuyvesant Square (East 16th Street),Manhattan,11/09/2016,-73.98398629,40.73366544,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.829675753706 40.840610395303685),2,Bronx,210,13,82,34,14,Crosby Avenue and Coddington Avenue,Bronx,03/12/2020,-73.82967579,40.84060979,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.96055495013404 40.807520500451226),1,Manhattan,109,7,69,30,10,Amsterdam Avenue at Pedestrian Crossing (West 117th Street),Manhattan,11/22/2016,-73.96055475,40.80752002,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96635027550063 40.63075365052765),3,Brooklyn,314,45,44,17,9,Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,03/28/2020,-73.96635033,40.63075327,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.7114795015462 40.73250147013483),4,Queens,413,23,33,11,3,Little Neck Parkway and 86th Avenue,Queens,08/02/2011,-73.71147971,40.73250064,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77006702703954 40.71135588362068),4,Queens,412,23,29,14,5,Jamaica Avenue and 189th Stret,Queens,03/24/2020,-73.77006729,40.71135509,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98043084900844 40.689899864274345),3,Brooklyn,302,35,57,25,8,DeKalb Avenue and Hudson Avenue,Brooklyn,05/11/2015,-73.98043075,40.6898994,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95252651787052 40.63124057811539),3,Brooklyn,314,45,42,21,9,Bedford Avenue between Avenue I and Campus Road (mid-block),Brooklyn,01/05/2012,-73.95252659,40.63124017,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97464237806491 40.64481295031778),3,Brooklyn,312,39,44,21,10,Ocean Parkway and Church Avenue,Brooklyn,11/15/2019,-73.97464239,40.64481256,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76384009766308 40.659733139886235),4,Queens,413,31,31,10,5,147th Avenue and 184th Street,Queens,12/07/2021,-73.76384041,40.65973236,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.8487135835357 40.71394256826372),4,Queens,406,29,28,15,6,71st Avenue and Juno Street,Queens,12/04/2020,-73.84871369,40.71394188,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8546356373749 40.820300711568635),2,Bronx,209,18,87,32,15,Pugsley Avenue and Seward Avenue,Bronx,05/24/2021,-73.85463564,40.82030011,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.73863118434221 40.67550236173595),4,Queens,413,31,29,14,5,Merrick Boulevard and 231st Street,Queens,09/26/2014,-73.73863149,40.67550155,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98255906608395 40.73137010304762),1,Manhattan,106,2,74,27,12,1st Avenue and East 14th Street,Manhattan,03/24/2018,-73.9825590657,40.7313701027,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89557807806872 40.84785521502057),2,Bronx,206,15,86,33,15,3rd Avenue and East 178th Street,Bronx,07/19/2019,-73.89557799,40.84785472,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92251862284505 40.650586733608456),3,Brooklyn,317,45,58,21,9,Snyder Avenue and East 58th Street,Brooklyn,07/09/2020,-73.9225187,40.65058624,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90609518854838 40.67435259537974),3,Brooklyn,316,37,55,19,8,East New York Avenue at Dean Street and Sackman Street,Brooklyn,12/24/2015,-73.90609525,40.67435204,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9261768903167 40.63062901691341),3,Brooklyn,318,46,41,21,8,Avenue I and East 52nd Street,Brooklyn,12/30/2019,-73.926177,40.63062856,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9251994593196 40.65749609937997),3,Brooklyn,317,41,58,20,9,Remsen Avenue with Clarkson Avenue (South Leg) and East 56th Street,Brooklyn,01/22/2021,-73.92519952,40.6574956,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97103311930499 40.67523701216748),3,Brooklyn,355,39,52,20,9,Grand Army Plaza (North) and Pedestrian Crossing (mid-block),Brooklyn,01/30/2019,-73.97103307,40.67523656,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74468852912835 40.60561693941835),4,Queens,414,31,23,15,5,Empire Avenue with Reads Lane and Balsam Court,Queens,10/22/2020,-73.74468889,40.60561615,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.83249710292208 40.84684776117301),2,Bronx,210,13,82,34,14,"Westchester Avenue with Crosby, Buhre and Edison Avenues",Bronx,09/22/2016,-73.83249713,40.84684717,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9793799769274 40.60100144993679),3,Brooklyn,311,47,47,22,10,Avenue S at West 7th Street,Brooklyn,01/09/2020,-73.97938008,40.60100115,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90804483771652 40.76839758041086),4,Queens,401,22,36,12,14,Astoria Boulevard (South) and 43rd Street,Queens,04/25/2022,-73.908044838,40.7683975806,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96465394663173 40.650887299172304),3,Brooklyn,314,40,42,21,9,Caton Avenue with East 17th Street and Parade Place,Brooklyn,01/24/2020,-73.96465396,40.65088688,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9809040075378 40.7378867038916),1,Manhattan,106,2,74,27,12,2nd Avenue and East 23rd Street,Manhattan,05/05/2018,-73.9809038,40.73788615,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.17838930792277 40.526712865582),5,Staten Island,503,51,62,24,11,Hylan Boulevard with Wendy Drive and St. Joseph’s High School,Staten Island,05/31/2019,-74.1783893075,40.5267128653,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.79836548716202 40.674088140357604),4,Queens,412,28,32,10,5,Rockaway Boulevard and 142nd Street,Queens,10/07/2019,-73.79836573,40.67408741,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.02762531169645 40.63880399453914),3,Brooklyn,310,43,51,22,10,Ridge Boulevard and 67th Street,Brooklyn,04/08/2020,-74.02762531,40.6388037,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95406211215715 40.719247554773474),3,Brooklyn,301,33,50,26,12,Driggs Avenue and North 11th Street,Brooklyn,04/11/2022,-73.954062,40.719247,AE,,3
POINT (-73.94187473985514 40.79540612014708),1,Manhattan,111,8,68,30,13,3rd Avenue and Pedestrian Crossing at East 113th Street,Manhattan,11/25/2016,-73.94187458,40.79540559,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.98217948984109 40.77220992781972),1,Manhattan,107,6,75,27,10,Broadway and West 64th Street,Manhattan,03/08/2017,-73.98217925,40.7722094,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85373685051351 40.87746351897786),2,Bronx,212,12,83,36,16,Laconia Avenue and East 215 Street,Bronx,08/21/2019,-73.85373682,40.87746301,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9770284825488 40.68519195129714),3,Brooklyn,302,35,57,25,8,Hanson Place and St. Felix Street,Brooklyn,05/13/2015,-73.9770284,40.68519149,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.11122464913748 40.62968461741404),5,Staten Island,501,49,61,24,11,Forest Avenue and Bement Avenue,Staten Island,12/10/2019,-74.11122471,40.62968444,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82739778077396 40.712833915859505),4,Queens,409,29,27,14,6,Queens Boulevard and Queens Borough Hall,Queens,10/31/2015,-73.82739793,40.7128332,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95866583732794 40.712796506687965),3,Brooklyn,301,34,53,18,7,Roebling Street and South 1st Street,Brooklyn,12/29/2020,-73.95866573,40.71279597,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87438532604155 40.87905502328529),2,Bronx,207,11,81,36,13,East Gun Hill Road with Perry Ave and Reservoir Place,Bronx,04/18/2019,-73.87438526,40.87905455,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93840425617454 40.81172873157053),1,Manhattan,110,9,70,30,13,Fifth Avenue pedestrian crossing (btwn East 132nd and East 135th Streets),Manhattan,01/25/2017,-73.9384041,40.81172823,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.97370073425324 40.79458059069104),1,Manhattan,107,6,69,31,10,West End Avenue and West 95th Street,Manhattan,06/18/2021,-73.97370051,40.7945801,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8656733130252 40.75762993172124),4,Queens,403,21,35,13,14,Northern Boulevard and 103rd Street,Queens,08/07/2019,-73.86567333,40.75762924,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96816894852122 40.76222603522574),1,Manhattan,108,4,73,28,12,Lexington Avenue and East 59th Street (Lighthouse),Manhattan,10/22/2004,-73.96816874,40.76222547,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91355961880365 40.678428939918284),3,Brooklyn,316,41,55,25,8,Fulton Street and Thomas S Boyland Street (Hopkinson Avenue),Brooklyn,02/02/2022,-73.91355966,40.67842839,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98848255636564 40.712770376244826),1,Manhattan,103,1,65,26,7,Madison Street and Jefferson Street,Manhattan,06/20/2014,-73.98848239,40.71276988,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.84122279313775 40.867859794526446),2,Bronx,212,12,83,36,16,East Gun Hill Road and Arnow Avenue,Bronx,11/22/2021,-73.84122279,40.86785925,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91784454858696 40.62503112527054),3,Brooklyn,318,46,59,21,8,Ralph Avenue between Avenue K and Avenue L (mid-block),Brooklyn,01/02/2019,-73.91784468,40.62503066,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.93477657108319 40.85205866749469),1,Manhattan,112,10,72,31,13,Broadway and West 184th Street,Manhattan,07/20/2021,-73.93477641,40.85205824,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90088542858365 40.84941064431697),2,Bronx,205,15,86,33,15,Valentine Avenue between East Tremont and East 178th Street,Bronx,09/05/2013,-73.90088533,40.84941016,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98411879291226 40.75484151233348),1,Manhattan,105,4,75,27,12,West 42nd Street between 5th Avenue and 6th Avenue,Manhattan,03/10/2016,-73.98411855,40.75484095,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80823920284382 40.74201066295375),4,Queens,407,20,25,16,6,Booth Memorial Avenue and 160th Road,Queens,12/07/2019,-73.80823936,40.7420099,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97226923733355 40.641063028069844),3,Brooklyn,312,39,44,17,10,Avenue C and East 7th Street,Brooklyn,10/26/2020,-73.97226926,40.64106264,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95796040726103 40.698819893841765),3,Brooklyn,301,33,50,26,7,Flushing Avenue and Skillman Street,Brooklyn,08/24/2013,-73.95796033,40.69881938,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.98096723837125 40.693554960218755),3,Brooklyn,302,35,57,25,8,Myrtle Avenue and Pedestrian Crossing (Hudson Walk) (mid-block),Brooklyn,03/15/2019,-73.98096713,40.69355449,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.01096650355728 40.71630289905223),1,Manhattan,101,1,66,26,10,Greenwich Street and Chambers Street,Manhattan,08/18/2020,-74.0109663,40.71630244,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.85886464506146 40.73594099778077),4,Queens,404,21,35,13,14,Long Island Expressway North Service Road at 99th Street,Queens,01/13/2020,-73.8588647,40.7359403,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.92776109570536 40.67488696177837),3,Brooklyn,308,36,56,25,8,Rochester Avenue at Bergen Street,Brooklyn,09/03/2020,-73.92776112,40.67488644,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95602048288033 40.81880285369573),1,Manhattan,109,7,70,31,13,Broadway and West 133th Street,Manhattan,05/06/2019,-73.95602029,40.81880239,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91069452628754 40.85001972827018),2,Bronx,205,14,77,29,15,Jerome Avenue and West 177th Street,Bronx,12/01/2019,-73.91069441,40.85001926,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96067045113382 40.75736382385909),1,Manhattan,106,5,73,28,12,Sutton Place and East 57th Street,Manhattan,09/01/2019,-73.96067026,40.75736324,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97894119207045 40.76506197683975),1,Manhattan,105,4,75,28,12,West 57th Street between 6th Avenue and 7th Avenue (Mid-block),Manhattan,06/23/2013,-73.97894096,40.76506143,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9742165576421 40.59011178053178),3,Brooklyn,315,47,45,22,11,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,08/04/2021,-73.97421669,40.59011149,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.92015458914791 40.68372013680279),3,Brooklyn,303,41,55,25,8,Howard Avenue and Macdonough Street,Brooklyn,02/28/2022,-73.92015461,40.68371959,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9556160518142 40.764289715641446),1,Manhattan,108,5,76,28,12,York Avenue and East 68th Street,Manhattan,10/25/2019,-73.95561587,40.76428914,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.97802186276813 40.63555271682682),3,Brooklyn,312,39,44,21,10,McDonald Avenue and Ditmas Avenue,Brooklyn,07/10/2012,-73.97802189,40.63555235,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.10350875422101 40.61641527267418),5,Staten Island,501,49,63,24,11,Victory Boulevard and Clove Road,Staten Island,05/01/2018,-74.10350886,40.61641509,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96677499011686 40.63229471225685),3,Brooklyn,314,45,44,17,9,Coney Island Avenue and Foster Avenue,Brooklyn,02/10/2022,-73.96677504,40.63229433,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81393528469495 40.684599412621615),4,Queens,410,28,24,10,5,109th Avenue with 130th Street and 129th Street,Queens,12/16/2020,-73.81393549,40.6845987,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98113408869256 40.779291163220066),1,Manhattan,107,6,67,29,10,Amsterdam Avenue and West 73rd Street,Manhattan,11/01/2019,-73.98113385,40.77929065,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90860959706416 40.860041732330984),2,Bronx,207,14,86,33,13,West 183rd Street and Andrews Avenue North,Bronx,11/05/2021,-73.90860948,40.86004128,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98706117534299 40.71363757000688),1,Manhattan,103,1,65,26,7,Clinton Street and Henry Street,Manhattan,12/23/2019,-73.98706101,40.71363707,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92985591732594 40.76732633948255),4,Queens,401,22,36,12,12,21st Street and 31st Avenue,Queens,10/11/2019,-73.92985579,40.76732574,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.99045474601013 40.6937218469482),3,Brooklyn,302,33,52,25,7,Cadman Plaza West and Montague Street,Brooklyn,04/11/2013,-73.99045462,40.69372139,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99684340981864 40.64426670901579),3,Brooklyn,312,38,51,17,7,9th Avenue and 42nd Street,Brooklyn,11/04/2021,-73.99684339,40.64426636,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78535085827197 40.71228566251309),4,Queens,408,24,29,14,5,Hillside Avenue and 178th Street/Edgerton Boulevard,Queens,02/08/2017,-73.78535109,40.71228489,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99156207865049 40.749706874449785),1,Manhattan,105,3,75,27,12,7th Avenue and West 32nd Street,Manhattan,07/05/2012,-73.99156182,40.74970631,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96340489646823 40.812860375471075),1,Manhattan,109,7,69,31,10,Riverside Drive Northbound and Grants Tomb 450' North of West 122nd Street,Manhattan,11/20/2019,-73.96340469,40.81285991,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79640935474772 40.73859510483711),4,Queens,407,20,25,11,6,Horace Harding Expressway Westbound and Fresh Meadow Lane,Queens,12/10/2019,-73.79640954,40.73859433,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94457462372608 40.6148045857324),3,Brooklyn,315,45,41,19,9,Nostrand Avenue and Marine Parkway,Brooklyn,10/06/2020,-73.94457474,40.61480419,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.92553061837077 40.767680444303416),4,Queens,401,22,36,12,12,Crescent Street and 30th Road,Queens,03/24/2020,-73.9255305,40.76767984,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.97745793094634 40.6840529582344),3,Brooklyn,302,39,52,25,8,Flatbush Avenue and Atlantic Avenue,Brooklyn,04/08/2019,-73.97745785,40.6840525,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90960186767771 40.832281562616366),2,Bronx,203,16,79,32,15,Webster Avenue 300' North of East 168th Street (mid-block),Bronx,02/28/2019,-73.90960176,40.83228106,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94190313580873 40.851753236042455),1,Manhattan,112,10,71,31,13,Riverside Drive and 200’ North of West 181st Street (mid-block),Manhattan,12/03/2018,-73.9419031358,40.851753236,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98568098154789 40.67397439641014),3,Brooklyn,306,39,52,20,7,4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,04/11/2019,-73.98568091,40.67397397,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98451083353194 40.76079489947621),1,Manhattan,105,3,75,27,12,Broadway and West 49th Street,Manhattan,09/08/2021,-73.98451059,40.76079435,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83870706998191 40.84073876115296),2,Bronx,210,13,82,34,14,East Tremont Avenue and Lehman High School (mid-block),Bronx,12/07/2018,-73.83870709,40.84073817,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.9696298077141 40.59737891405831),3,Brooklyn,315,47,45,22,11,Avenue U at East 2nd Street,Brooklyn,06/09/2020,-73.96962993,40.5973786,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.80744070326584 40.674896915818316),4,Queens,410,28,31,10,5,Rockaway Boulevard with 131st Street and Lincoln Street,Queens,04/09/2021,-73.80744093,40.6748962,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97271782234283 40.79592801883871),1,Manhattan,107,6,69,31,10,West End Avenue and West 97th Street,Manhattan,09/10/2019,-73.9727176,40.79592753,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95716794353865 40.63540440558209),3,Brooklyn,314,45,42,21,9,Farragut Road and East 21st Street,Brooklyn,04/21/2022,-73.957168,40.635404,X,AREA OF MINIMAL FLOOD HAZARD,5
